Unnamed: 0,Film,Budget,Revenue,Novel,Earnings,First Letter
324,Daredevil,78000000,179179718,0.0,101179718,D
325,Dark Blue,15000000,9237470,0.0,-5762530,D
326,Dark Shadows,150000000,245527149,0.0,95527149,D
327,Dark Skies,3500000,25174316,0.0,21674316,D
328,Dark Water,30000000,25473093,1.0,-4526907,D
329,Dark Water,30000000,25473093,1.0,-4526907,D
330,Date Movie,20000000,48548426,0.0,28548426,D
331,Date Night,55000000,152263880,0.0,97263880,D
332,Dave Chappelle's Block Party,3000000,11718595,0.0,8718595,D
333,Dawn of the Dead,28000000,102356381,0.0,74356381,D
334,Dawn of the Planet of the Apes,170000000,710644566,0.0,540644566,D
335,Daybreakers,20000000,51416464,0.0,31416464,D
336,Dead Silence,20000000,22217407,0.0,2217407,D
337,Deadpool,58000000,783112979,0.0,725112979,D
338,Dear John,25000000,114977104,1.0,89977104,D
339,Death Race,45000000,73762516,0.0,28762516,D
340,Death Sentence,20000000,16974459,1.0,-3025541,D
341,Deepwater Horizon,110000000,121790373,0.0,11790373,D
342,Defiance,32000000,51155219,0.0,19155219,D
343,Delivery Man,26000000,51164106,0.0,25164106,D
344,Demolition,10000000,1978592,0.0,-8021408,D
345,Denial,10000000,4073489,0.0,-5926511,D
346,Derailed,22000000,57479076,0.0,35479076,D
347,Despicable Me,69000000,543513985,0.0,474513985,D
348,Despicable Me 2,76000000,970761885,0.0,894761885,D
349,Despicable Me 3,80000000,1020063384,0.0,940063384,D
350,Deuce Bigalow: European Gigolo,22000000,22400154,0.0,400154,D
351,Devil,10000000,33583175,0.0,23583175,D
352,Devil's Due,7000000,36433975,0.0,29433975,D
353,Diary of a Wimpy Kid,15000000,75700498,1.0,60700498,D
354,Diary of a Wimpy Kid: Dog Days,22000000,77112176,1.0,55112176,D
355,Diary of a Wimpy Kid: Rodrick Rules,21000000,72417394,1.0,51417394,D
356,Diary of a Wimpy Kid: The Long Haul,22000000,40120144,1.0,18120144,D
357,Did You Hear About the Morgans?,58000000,85280250,0.0,27280250,D
358,Die Another Day,140000000,431971116,0.0,291971116,D
359,Dinner for Schmucks,69000000,86387857,0.0,17387857,D
360,Dirty Dancing: Havana Nights,25000000,27685016,0.0,2685016,D
361,Dirty Grandpa,11500000,94073028,0.0,82573028,D
362,Disaster Movie,25000000,14109284,0.0,-10890716,D
363,District 9,30000000,210819611,0.0,180819611,D
364,Disturbia,20000000,117760134,0.0,97760134,D
365,Divergent,85000000,288747895,1.0,203747895,D
366,Django Unchained,100000000,425368238,0.0,325368238,D
367,Doctor Strange,165000000,677718395,0.0,512718395,D
368,DodgeBall: A True Underdog Story,20000000,167722310,0.0,147722310,D
369,Dolphin Tale,37000000,95404397,0.0,58404397,D
370,Dolphin Tale 2,36000000,52424533,0.0,16424533,D
371,Domino,50000000,22944502,0.0,-27055498,D
372,Don't Be Afraid of the Dark,25000000,36993168,0.0,11993168,D
373,Don't Breathe,9900000,157100845,0.0,147200845,D
374,Doom,60000000,55987321,0.0,-4012679,D
375,Doomsday,30000000,22211426,0.0,-7788574,D
376,Dope,700000,17986781,0.0,17286781,D
377,Doubt,20000000,50907234,0.0,30907234,D
378,Down with Love,35000000,20298207,0.0,-14701793,D
379,Dracula Untold,70000000,215529201,0.0,145529201,D
380,Draft Day,25000000,28831145,0.0,3831145,D
381,Drag Me to Hell,30000000,90810892,0.0,60810892,D
382,Dragonfly,60000000,52322400,0.0,-7677600,D
383,Dream House,50000000,38502340,0.0,-11497660,D
384,Dreamcatcher,68000000,75715436,1.0,7715436,D
385,Dreamgirls,70000000,154937680,0.0,84937680,D
386,Dredd,50000000,41037742,0.0,-8962258,D
387,Drive Angry,50000000,28931401,0.0,-21068599,D
388,Drumline,20000000,57588485,0.0,37588485,D
389,Due Date,65000000,211780824,0.0,146780824,D
390,Dumb and Dumber To,40000000,169837010,0.0,129837010,D
391,Dumb and Dumberer: When Harry Met Lloyd,19000000,39267515,0.0,20267515,D
392,Dunkirk,100000000,519876949,0.0,419876949,D
393,Duplex,40000000,19322135,0.0,-20677865,D
394,Duplicity,78146652,60000000,0.0,-18146652,D
395,Dylan Dog: Dead of Night,20000000,4634062,0.0,-15365938,D
396,Eagle Eye,80000000,178066569,0.0,98066569,E
397,Earth to Echo,13000000,45300000,0.0,32300000,E
398,Eastern Promises,51500000,55112356,0.0,3612356,E
399,Easy A,8000000,74952305,0.0,66952305,E
400,Eat Pray Love,60000000,204594016,1.0,144594016,E
401,Eddie the Eagle,23000000,46152411,0.0,23152411,E
402,Edge of Darkness,80000000,74901339,0.0,-5098661,E
403,Edge of Tomorrow,178000000,370541256,1.0,192541256,E
404,Eight Below,40000000,120455994,0.0,80455994,E
405,Elektra,43000000,56681566,0.0,13681566,E
406,Elf,32000000,173398518,0.0,141398518,E
407,Elizabeth: The Golden Age,55000000,74237563,0.0,19237563,E
408,Elizabethtown,57000000,52034889,0.0,-4965111,E
409,Ella Enchanted,31000000,27388767,1.0,-3611233,E
410,Elysium,115000000,286140700,0.0,171140700,E
411,Empire,4000000,18591272,0.0,14591272,E
412,Employee of the Month,12000000,38368909,0.0,26368909,E
413,Enchanted,85000000,340487652,0.0,255487652,E
414,End of Watch,7000000,48126384,0.0,41126384,E
415,Ender's Game,110000000,125537191,1.0,15537191,E
416,Enough,38000000,51801187,0.0,13801187,E
417,Entourage,30000000,49263404,0.0,19263404,E
418,Epic,100000000,268426634,0.0,168426634,E
419,Epic Movie,20000000,86865564,0.0,66865564,E
420,Eragon,100000000,249288105,1.0,149288105,E
421,Escape Plan,50000000,122915111,0.0,72915111,E
422,Eternal Sunshine of the Spotless Mind,20000000,72258126,0.0,52258126,E
423,Evan Almighty,175000000,173000000,0.0,-2000000,E
424,Ex Machina,15000000,36869414,0.0,21869414,E
425,Exodus: Gods and Kings,140000000,268031828,0.0,128031828,E
426,Exorcist: The Beginning,80000000,78000586,1.0,-1999414,E
427,Expelled: No Intelligence Allowed,3500000,7700000,0.0,4200000,E
428,Extract,8000000,10848783,0.0,2848783,E
429,Extraordinary Measures,31000000,15134293,0.0,-15865707,E
430,Extreme Ops,40000000,10959475,0.0,-29040525,E
431,Extremely Loud & Incredibly Close,40000000,55247881,1.0,15247881,E
432,Eye in the Sky,13000000,18704595,0.0,5704595,E
433,Fahrenheit 9/11,6000000,119114517,0.0,113114517,F
434,Failure to Launch,50000000,128406887,0.0,78406887,F
435,Fantastic Four,120000000,167977596,0.0,47977596,F
436,Fantastic Four,100000000,330579719,0.0,230579719,F
437,Fantastic Mr. Fox,40000000,46471023,1.0,6471023,F
438,Fast & Furious 6,160000000,788679850,0.0,628679850,F
439,Fast Five,125000000,626137675,0.0,501137675,F
440,Faster,24000000,23081726,0.0,-918274,F
441,Femme Fatale,35000000,16838910,0.0,-18161090,F
442,Fences,24000000,64414761,0.0,40414761,F
443,Fever Pitch,30000000,50451307,1.0,20451307,F
444,Fifty Shades Darker,55000000,378827494,1.0,323827494,F
445,Fifty Shades of Black,20000000,21164799,0.0,1164799,F
446,Fifty Shades of Grey,40000000,571006128,1.0,531006128,F
