year,quarter,state,period,pm2.5_measure,personal_income_per_capita,region,division
2017,1,Michigan,2017 Q1,9.541667741935484,45266,Midwest,East North Central
2017,2,Michigan,2017 Q2,5.859906896551724,45532,Midwest,East North Central
2017,3,Michigan,2017 Q3,8.442962068965517,45780,Midwest,East North Central
2017,4,Michigan,2017 Q4,8.097042857142856,46286,Midwest,East North Central
2017,1,Minnesota,2017 Q1,7.2728153846153845,53920,Midwest,West North Central
2017,2,Minnesota,2017 Q2,5.155823076923077,54093,Midwest,West North Central
2017,3,Minnesota,2017 Q3,7.377446153846154,54142,Midwest,West North Central
2017,4,Minnesota,2017 Q4,5.3592,54899,Midwest,West North Central
2017,1,Mississippi,2017 Q1,6.93257,36707,South,East South Central
2017,2,Mississippi,2017 Q2,7.58185,36724,South,East South Central
2017,3,Mississippi,2017 Q3,9.33768,36985,South,East South Central
2017,4,Mississippi,2017 Q4,8.090309999999999,37218,South,East South Central
2017,1,Missouri,2017 Q1,10.193349999999999,44684,Midwest,West North Central
2017,2,Missouri,2017 Q2,6.6998,45036,Midwest,West North Central
2017,3,Missouri,2017 Q3,9.4917,45361,Midwest,West North Central
2017,4,Missouri,2017 Q4,9.23225,45867,Midwest,West North Central
2017,1,Montana,2017 Q1,8.507275,45674,West,Mountain
2017,2,Montana,2017 Q2,2.87455,46115,West,Mountain
2017,3,Montana,2017 Q3,14.5568,46107,West,Mountain
2017,4,Montana,2017 Q4,7.3563,46299,West,Mountain
2017,1,Nebraska,2017 Q1,6.6181375000000005,49354,Midwest,West North Central
2017,2,Nebraska,2017 Q2,6.430125,49992,Midwest,West North Central
2017,3,Nebraska,2017 Q3,8.7332125,50237,Midwest,West North Central
2017,4,Nebraska,2017 Q4,6.0177875,50988,Midwest,West North Central
2017,1,Nevada,2017 Q1,5.85046,46869,West,Mountain
2017,2,Nevada,2017 Q2,4.99135,47376,West,Mountain
2017,3,Nevada,2017 Q3,7.295166666666667,47855,West,Mountain
